indonesia,osing
mereka mencium pisau dari bukit,wong-wong ngambung lading teko puthuk
anak membawa anak ke rumah,lare nggowo lare nyang umah
kamu memukul buku dari sungai,riko nyampat buku teko kali
bapak mengambil pisau,bapak njuwut lading
bapak mengambil pisang di dapur,bapak njuwut gedhang nong pawon
aku memukul buku dari bukit,isun nyampat buku teko puthuk
nenek mencium bunga dari rumah,embyah ngambung kembang teko umah
nenek menyapu nasi ke rumah,embyah nyapu sego nyang umah
ibu memasak nasi,mak ngolah sego
saya memanggil sayur dari dapur,isun ngundang jangan teko pawon
ibu mengambil kunci,mak njuwut kunci
dia menyapu buku dari sungai,yane nyapu buku teko kali
ibu memasak pisau ke pasar,mak ngolah lading nyang pasar
dia menyapu air di sungai,yane nyapu byanyu nong kali
anak menyapu nasi di dapur,lare nyapu sego nong pawon
dia memukul pisang,yane nyampat gedhang
anak membawa anak dari dapur,lare nggowo lare teko pawon
aku memanggil bunga di dapur,isun ngundang kembang nong pawon
kamu melihat bunga ke pasar,riko ndeleng kembang nyang pasar
mereka memanggil buku,wong-wong ngundang buku
dia memasak kunci ke pasar,yane ngolah kunci nyang pasar
ibu membawa sayur di rumah,mak nggowo jangan nong umah
aku menyimpan anak ke rumah,isun nyimpen lare nyang umah
mereka mengambil kunci,wong-wong njuwut kunci
dia menyimpan nasi,yane nyimpen sego
saya memasak sayur di sungai,isun ngolah jangan nong kali
dia mengambil anak,yane njuwut lare
saya mencium pisang di sungai,isun ngambung gedhang nong kali
dia melihat pisau dari sungai,yane ndeleng lading teko kali
bapak membawa pisang di pasar,bapak nggowo gedhang nong pasar
nenek mencium sayur dari bukit,embyah ngambung jangan teko puthuk
bapak memukul pisang dari dapur,bapak nyampat gedhang teko pawon
ibu mengambil anak di sungai,mak njuwut lare nong kali
bapak mencium kunci ke dapur,bapak ngambung kunci nyang pawon
aku memukul pisau,isun nyampat lading
aku menyimpan buku ke sungai,isun nyimpen buku nyang kali
aku mencium sayur di sungai,isun ngambung jangan nong kali
anak mengambil bunga di dapur,lare njuwut kembang nong pawon
kamu melihat air ke sungai,riko ndeleng byanyu nyang kali
ibu menyapu sayur ke sungai,mak nyapu jangan nyang kali
saya memukul sayur di bukit,isun nyampat jangan nong puthuk
nenek mencium kunci,embyah ngambung kunci
dia memasak sayur dari dapur,yane ngolah jangan teko pawon
saya melihat pisau di dapur,isun ndeleng lading nong pawon
anak menyimpan air ke dapur,lare nyimpen byanyu nyang pawon
kamu memasak anak,riko ngolah lare
dia memasak kunci ke dapur,yane ngolah kunci nyang pawon
nenek mencium kunci,embyah ngambung kunci
anak melihat bunga ke bukit,lare ndeleng kembang nyang puthuk
bapak memasak nasi dari pasar,bapak ngolah sego teko pasar
mereka menyimpan pisang di sungai,wong-wong nyimpen gedhang nong kali
dia memanggil sayur ke dapur,yane ngundang jangan nyang pawon
anak memasak pisau,lare ngolah lading
kamu melihat air,riko ndeleng byanyu
kamu memasak pisau di pasar,riko ngolah lading nong pasar
aku mengambil pisau,isun njuwut lading
anak memukul air dari sungai,lare nyampat byanyu teko kali
nenek menyapu nasi ke bukit,embyah nyapu sego nyang puthuk
anak mengambil buku dari rumah,lare njuwut buku teko umah
dia membawa bunga dari rumah,yane nggowo kembang teko umah
nenek memanggil air dari rumah,embyah ngundang byanyu teko umah
dia melihat pisang di bukit,yane ndeleng gedhang nong puthuk
dia melihat air di sungai,yane ndeleng byanyu nong kali
nenek membawa buku,embyah nggowo buku
dia menyimpan pisang dari bukit,yane nyimpen gedhang teko puthuk
anak menyimpan pisau ke rumah,lare nyimpen lading nyang umah
nenek menyimpan sayur di dapur,embyah nyimpen jangan nong pawon
aku memanggil kunci ke pasar,isun ngundang kunci nyang pasar
kamu melihat buku di dapur,riko ndeleng buku nong pawon
ibu membawa kunci ke sungai,mak nggowo kunci nyang kali
mereka menyapu kunci,wong-wong nyapu kunci
dia memanggil pisang ke sungai,yane ngundang gedhang nyang kali
saya memanggil air dari dapur,isun ngundang byanyu teko pawon
nenek memukul pisau dari dapur,embyah nyampat lading teko pawon
kamu memukul pisau dari bukit,riko nyampat lading teko puthuk
anak membawa bunga dari sungai,lare nggowo kembang teko kali
bapak membawa sayur,bapak nggowo jangan
aku memanggil sayur dari dapur,isun ngundang jangan teko pawon
dia memukul air,yane nyampat byanyu
dia melihat sayur dari pasar,yane ndeleng jangan teko pasar
mereka membawa sayur di rumah,wong-wong nggowo jangan nong umah
bapak memasak bunga,bapak ngolah kembang
dia memasak pisang di dapur,yane ngolah gedhang nong pawon
anak memasak buku ke bukit,lare ngolah buku nyang puthuk
nenek melihat kunci dari sungai,embyah ndeleng kunci teko kali
kamu menyimpan nasi di dapur,riko nyimpen sego nong pawon
saya memukul sayur ke dapur,isun nyampat jangan nyang pawon
nenek menyapu anak ke rumah,embyah nyapu lare nyang umah
bapak memanggil pisang ke sungai,bapak ngundang gedhang nyang kali
anak menyimpan buku ke rumah,lare nyimpen buku nyang umah
anak memasak anak di pasar,lare ngolah lare nong pasar
bapak mengambil pisau,bapak njuwut lading
bapak mencium air ke dapur,bapak ngambung byanyu nyang pawon
bapak mencium buku di bukit,bapak ngambung buku nong puthuk
dia memukul pisau dari bukit,yane nyampat lading teko puthuk
ibu melihat air di bukit,mak ndeleng byanyu nong puthuk
mereka menyapu bunga ke bukit,wong-wong nyapu kembang nyang puthuk
dia menyimpan air dari dapur,yane nyimpen byanyu teko pawon
aku mencium sayur ke dapur,isun ngambung jangan nyang pawon
bapak memasak buku di sungai,bapak ngolah buku nong kali
anak mencium air dari bukit,lare ngambung byanyu teko puthuk
mereka memukul buku dari dapur,wong-wong nyampat buku teko pawon
dia memukul anak di pasar,yane nyampat lare nong pasar
saya menyapu kunci di dapur,isun nyapu kunci nong pawon
aku menyimpan bunga dari sungai,isun nyimpen kembang teko kali
ibu mencium nasi dari sungai,mak ngambung sego teko kali
bapak mencium kunci,bapak ngambung kunci
aku memasak anak dari pasar,isun ngolah lare teko pasar
ibu membawa air,mak nggowo byanyu
saya memanggil air di pasar,isun ngundang byanyu nong pasar
kamu mencium air ke rumah,riko ngambung byanyu nyang umah
dia mengambil buku dari dapur,yane njuwut buku teko pawon
kamu memasak air ke rumah,riko ngolah byanyu nyang umah
nenek memukul bunga dari bukit,embyah nyampat kembang teko puthuk
nenek memanggil nasi,embyah ngundang sego
bapak memasak anak ke bukit,bapak ngolah lare nyang puthuk
nenek mengambil bunga di pasar,embyah njuwut kembang nong pasar
kamu menyimpan bunga di rumah,riko nyimpen kembang nong umah
kamu mencium nasi dari dapur,riko ngambung sego teko pawon
dia memukul nasi ke dapur,yane nyampat sego nyang pawon
bapak melihat pisau,bapak ndeleng lading
dia menyimpan anak di bukit,yane nyimpen lare nong puthuk
kamu menyapu pisau,riko nyapu lading
dia menyimpan pisang dari rumah,yane nyimpen gedhang teko umah
nenek menyimpan pisau,embyah nyimpen lading
saya membawa nasi,isun nggowo sego
saya membawa kunci di dapur,isun nggowo kunci nong pawon
dia menyimpan air di rumah,yane nyimpen byanyu nong umah
mereka memasak buku dari pasar,wong-wong ngolah buku teko pasar
nenek menyapu air ke pasar,embyah nyapu byanyu nyang pasar
ibu menyimpan pisang,mak nyimpen gedhang
anak melihat pisau di pasar,lare ndeleng lading nong pasar
mereka mengambil air ke dapur,wong-wong njuwut byanyu nyang pawon
mereka mencium anak dari rumah,wong-wong ngambung lare teko umah
mereka memukul sayur dari dapur,wong-wong nyampat jangan teko pawon
saya memukul kunci,isun nyampat kunci
bapak melihat sayur ke bukit,bapak ndeleng jangan nyang puthuk
bapak menyapu pisau dari pasar,bapak nyapu lading teko pasar
bapak memasak anak,bapak ngolah lare
anak melihat anak ke dapur,lare ndeleng lare nyang pawon
bapak memukul air,bapak nyampat byanyu
saya mengambil anak ke pasar,isun njuwut lare nyang pasar
bapak mencium bunga ke sungai,bapak ngambung kembang nyang kali
ibu memasak bunga,mak ngolah kembang
ibu memasak pisau dari pasar,mak ngolah lading teko pasar
nenek menyimpan kunci ke sungai,embyah nyimpen kunci nyang kali
mereka menyapu sayur di pasar,wong-wong nyapu jangan nong pasar
bapak mencium pisang di bukit,bapak ngambung gedhang nong puthuk
bapak mengambil sayur dari pasar,bapak njuwut jangan teko pasar
bapak menyapu kunci,bapak nyapu kunci
bapak menyimpan nasi,bapak nyimpen sego
aku memukul kunci dari rumah,isun nyampat kunci teko umah
bapak memukul bunga,bapak nyampat kembang
mereka memukul nasi,wong-wong nyampat sego
anak mencium bunga di dapur,lare ngambung kembang nong pawon
mereka membawa pisau,wong-wong nggowo lading
nenek mengambil kunci ke sungai,embyah njuwut kunci nyang kali
nenek menyapu bunga,embyah nyapu kembang
mereka memasak nasi,wong-wong ngolah sego
nenek mencium pisau dari sungai,embyah ngambung lading teko kali
bapak memanggil pisang ke sungai,bapak ngundang gedhang nyang kali
saya mencium bunga dari dapur,isun ngambung kembang teko pawon
saya memanggil anak,isun ngundang lare
dia melihat air di rumah,yane ndeleng byanyu nong umah
saya membawa kunci,isun nggowo kunci
kamu melihat pisang,riko ndeleng gedhang
anak mengambil buku dari sungai,lare njuwut buku teko kali
aku memasak kunci dari pasar,isun ngolah kunci teko pasar
bapak menyapu kunci di pasar,bapak nyapu kunci nong pasar
mereka membawa pisang dari pasar,wong-wong nggowo gedhang teko pasar
anak menyimpan pisang ke sungai,lare nyimpen gedhang nyang kali
bapak menyapu anak dari dapur,bapak nyapu lare teko pawon
saya menyapu buku di dapur,isun nyapu buku nong pawon
bapak memasak pisau,bapak ngolah lading
ibu memanggil air dari pasar,mak ngundang byanyu teko pasar
dia menyimpan pisau di rumah,yane nyimpen lading nong umah
mereka memanggil anak dari rumah,wong-wong ngundang lare teko umah
aku menyimpan pisau dari rumah,isun nyimpen lading teko umah
ibu mencium buku dari bukit,mak ngambung buku teko puthuk
mereka memukul anak ke dapur,wong-wong nyampat lare nyang pawon
nenek melihat sayur ke rumah,embyah ndeleng jangan nyang umah
dia mengambil pisau dari sungai,yane njuwut lading teko kali
aku mencium nasi,isun ngambung sego
ibu menyapu anak dari bukit,mak nyapu lare teko puthuk
ibu melihat bunga ke pasar,mak ndeleng kembang nyang pasar
saya menyapu nasi dari sungai,isun nyapu sego teko kali
dia menyimpan pisau dari pasar,yane nyimpen lading teko pasar
bapak mencium pisang,bapak ngambung gedhang
bapak membawa pisang dari dapur,bapak nggowo gedhang teko pawon
saya menyapu sayur dari sungai,isun nyapu jangan teko kali
saya membawa buku,isun nggowo buku
bapak memukul air dari rumah,bapak nyampat byanyu teko umah
nenek memanggil anak ke dapur,embyah ngundang lare nyang pawon
anak memukul kunci ke bukit,lare nyampat kunci nyang puthuk
nenek menyapu anak dari sungai,embyah nyapu lare teko kali
aku menyapu buku,isun nyapu buku
ibu melihat pisang,mak ndeleng gedhang
saya mencium bunga ke bukit,isun ngambung kembang nyang puthuk
mereka menyimpan bunga dari sungai,wong-wong nyimpen kembang teko kali
mereka mencium pisang dari rumah,wong-wong ngambung gedhang teko umah
ibu membawa nasi ke sungai,mak nggowo sego nyang kali
mereka membawa nasi di sungai,wong-wong nggowo sego nong kali
kamu menyapu pisang dari bukit,riko nyapu gedhang teko puthuk
kamu mengambil pisau di bukit,riko njuwut lading nong puthuk
kamu mengambil pisau di pasar,riko njuwut lading nong pasar
bapak membawa pisau,bapak nggowo lading
aku memanggil air di pasar,isun ngundang byanyu nong pasar
kamu melihat pisang di dapur,riko ndeleng gedhang nong pawon
kamu melihat nasi ke rumah,riko ndeleng sego nyang umah
mereka menyimpan bunga di sungai,wong-wong nyimpen kembang nong kali
ibu memukul air ke rumah,mak nyampat byanyu nyang umah
nenek memanggil nasi,embyah ngundang sego
kamu menyimpan pisau ke rumah,riko nyimpen lading nyang umah
ibu memukul kunci dari rumah,mak nyampat kunci teko umah
anak melihat anak ke rumah,lare ndeleng lare nyang umah
dia menyimpan sayur di sungai,yane nyimpen jangan nong kali
saya memukul kunci di bukit,isun nyampat kunci nong puthuk
saya mengambil pisau dari rumah,isun njuwut lading teko umah
ibu membawa sayur ke rumah,mak nggowo jangan nyang umah
kamu memukul bunga di rumah,riko nyampat kembang nong umah
mereka membawa air di dapur,wong-wong nggowo byanyu nong pawon
ibu menyapu pisang,mak nyapu gedhang
kamu mencium bunga di sungai,riko ngambung kembang nong kali
bapak memukul buku ke rumah,bapak nyampat buku nyang umah
saya menyimpan bunga ke pasar,isun nyimpen kembang nyang pasar
nenek melihat anak di rumah,embyah ndeleng lare nong umah
nenek memanggil nasi ke dapur,embyah ngundang sego nyang pawon
mereka membawa bunga di bukit,wong-wong nggowo kembang nong puthuk
ibu memasak kunci di bukit,mak ngolah kunci nong puthuk
kamu mencium pisang di rumah,riko ngambung gedhang nong umah
saya memukul pisang ke sungai,isun nyampat gedhang nyang kali
anak membawa anak ke rumah,lare nggowo lare nyang umah
anak mengambil bunga dari pasar,lare njuwut kembang teko pasar
bapak memukul pisang,bapak nyampat gedhang
kamu menyapu sayur ke bukit,riko nyapu jangan nyang puthuk
bapak membawa pisau ke bukit,bapak nggowo lading nyang puthuk
nenek menyimpan pisau ke bukit,embyah nyimpen lading nyang puthuk
anak membawa pisang ke pasar,lare nggowo gedhang nyang pasar
kamu mengambil pisang,riko njuwut gedhang
kamu membawa pisang dari dapur,riko nggowo gedhang teko pawon
nenek membawa air di bukit,embyah nggowo byanyu nong puthuk
mereka memukul bunga dari pasar,wong-wong nyampat kembang teko pasar
dia membawa nasi,yane nggowo sego
saya memasak buku,isun ngolah buku
ibu mencium buku ke sungai,mak ngambung buku nyang kali
aku memanggil pisau di pasar,isun ngundang lading nong pasar
aku melihat sayur,isun ndeleng jangan
bapak membawa air dari bukit,bapak nggowo byanyu teko puthuk
nenek menyimpan anak,embyah nyimpen lare
anak mencium anak dari dapur,lare ngambung lare teko pawon
mereka membawa bunga dari dapur,wong-wong nggowo kembang teko pawon
bapak membawa bunga di pasar,bapak nggowo kembang nong pasar
kamu membawa bunga dari sungai,riko nggowo kembang teko kali
kamu membawa air di dapur,riko nggowo byanyu nong pawon
ibu mencium nasi di rumah,mak ngambung sego nong umah
kamu mencium nasi dari rumah,riko ngambung sego teko umah
dia memanggil bunga,yane ngundang kembang
saya memukul sayur ke dapur,isun nyampat jangan nyang pawon
kamu membawa buku ke rumah,riko nggowo buku nyang umah
mereka memukul sayur,wong-wong nyampat jangan
bapak memukul bunga di rumah,bapak nyampat kembang nong umah
bapak membawa bunga,bapak nggowo kembang
mereka menyapu anak dari pasar,wong-wong nyapu lare teko pasar
ibu membawa sayur di bukit,mak nggowo jangan nong puthuk
saya menyapu buku dari bukit,isun nyapu buku teko puthuk
anak memasak pisau dari dapur,lare ngolah lading teko pawon
aku membawa anak,isun nggowo lare
anak menyapu pisau,lare nyapu lading
mereka mencium sayur,wong-wong ngambung jangan
bapak memasak kunci dari pasar,bapak ngolah kunci teko pasar
ibu menyapu pisang,mak nyapu gedhang
nenek mengambil buku ke bukit,embyah njuwut buku nyang puthuk
nenek melihat pisang di sungai,embyah ndeleng gedhang nong kali
bapak menyimpan kunci di bukit,bapak nyimpen kunci nong puthuk
dia memanggil buku di dapur,yane ngundang buku nong pawon
kamu mengambil air,riko njuwut byanyu
bapak memukul buku dari sungai,bapak nyampat buku teko kali
dia memasak anak di sungai,yane ngolah lare nong kali
ibu menyimpan pisang,mak nyimpen gedhang
saya membawa buku di rumah,isun nggowo buku nong umah
bapak melihat buku dari dapur,bapak ndeleng buku teko pawon
anak memanggil pisang,lare ngundang gedhang
saya mencium nasi,isun ngambung sego
aku membawa pisang,isun nggowo gedhang
nenek mengambil air,embyah njuwut byanyu
nenek mencium air ke pasar,embyah ngambung byanyu nyang pasar
bapak menyapu air dari sungai,bapak nyapu byanyu teko kali
dia menyimpan kunci ke sungai,yane nyimpen kunci nyang kali
dia membawa pisang,yane nggowo gedhang
aku memanggil anak ke rumah,isun ngundang lare nyang umah
saya membawa sayur,isun nggowo jangan
aku memukul air di sungai,isun nyampat byanyu nong kali
bapak melihat buku,bapak ndeleng buku
mereka memukul kunci di bukit,wong-wong nyampat kunci nong puthuk
nenek memasak pisau di pasar,embyah ngolah lading nong pasar
nenek membawa sayur ke dapur,embyah nggowo jangan nyang pawon
dia menyimpan bunga,yane nyimpen kembang
nenek membawa buku ke dapur,embyah nggowo buku nyang pawon
anak memasak nasi ke sungai,lare ngolah sego nyang kali
anak menyapu pisau dari pasar,lare nyapu lading teko pasar
mereka menyimpan sayur,wong-wong nyimpen jangan
anak membawa air,lare nggowo byanyu
ibu menyapu buku dari sungai,mak nyapu buku teko kali
kamu memukul pisau dari dapur,riko nyampat lading teko pawon
bapak memukul buku ke bukit,bapak nyampat buku nyang puthuk
mereka memanggil nasi ke dapur,wong-wong ngundang sego nyang pawon
mereka melihat kunci,wong-wong ndeleng kunci
bapak melihat pisang di rumah,bapak ndeleng gedhang nong umah
ibu menyapu pisau,mak nyapu lading
kamu melihat anak dari dapur,riko ndeleng lare teko pawon
mereka melihat air,wong-wong ndeleng byanyu
dia menyapu bunga,yane nyapu kembang
ibu memasak anak,mak ngolah lare
ibu membawa air dari rumah,mak nggowo byanyu teko umah
saya mencium nasi,isun ngambung sego
mereka memasak air ke sungai,wong-wong ngolah byanyu nyang kali
dia mengambil nasi,yane njuwut sego
anak melihat pisang dari sungai,lare ndeleng gedhang teko kali
nenek mengambil nasi,embyah njuwut sego
kamu memukul buku ke sungai,riko nyampat buku nyang kali
saya melihat anak,isun ndeleng lare
mereka memanggil pisang di bukit,wong-wong ngundang gedhang nong puthuk
ibu melihat pisau dari bukit,mak ndeleng lading teko puthuk
dia memasak bunga ke dapur,yane ngolah kembang nyang pawon
anak membawa air,lare nggowo byanyu
saya membawa anak,isun nggowo lare
anak membawa pisau,lare nggowo lading
aku menyapu kunci,isun nyapu kunci
anak mengambil pisang ke bukit,lare njuwut gedhang nyang puthuk
anak memanggil anak,lare ngundang lare
ibu memanggil pisang dari pasar,mak ngundang gedhang teko pasar
kamu melihat pisau di dapur,riko ndeleng lading nong pawon
dia memanggil nasi dari bukit,yane ngundang sego teko puthuk
nenek menyapu bunga dari bukit,embyah nyapu kembang teko puthuk
aku menyapu air ke dapur,isun nyapu byanyu nyang pawon
dia membawa sayur ke sungai,yane nggowo jangan nyang kali
aku memukul nasi,isun nyampat sego
bapak mencium pisau ke rumah,bapak ngambung lading nyang umah
dia memukul nasi dari pasar,yane nyampat sego teko pasar
nenek mengambil sayur,embyah njuwut jangan
aku melihat sayur,isun ndeleng jangan
dia memanggil pisang dari sungai,yane ngundang gedhang teko kali
saya mengambil pisang di rumah,isun njuwut gedhang nong umah
ibu mengambil kunci di bukit,mak njuwut kunci nong puthuk
nenek memukul pisang dari bukit,embyah nyampat gedhang teko puthuk
saya memukul anak,isun nyampat lare
bapak memasak bunga dari pasar,bapak ngolah kembang teko pasar
nenek memasak pisang ke dapur,embyah ngolah gedhang nyang pawon
anak memasak kunci di sungai,lare ngolah kunci nong kali
kamu membawa nasi dari pasar,riko nggowo sego teko pasar
aku menyapu buku,isun nyapu buku
anak memukul sayur di pasar,lare nyampat jangan nong pasar
saya menyapu air di bukit,isun nyapu byanyu nong puthuk
mereka melihat air dari rumah,wong-wong ndeleng byanyu teko umah
mereka menyapu pisang ke sungai,wong-wong nyapu gedhang nyang kali
ibu memasak sayur di pasar,mak ngolah jangan nong pasar
nenek menyapu pisang ke sungai,embyah nyapu gedhang nyang kali
nenek menyimpan nasi di dapur,embyah nyimpen sego nong pawon
mereka menyimpan nasi dari sungai,wong-wong nyimpen sego teko kali
dia mencium air dari sungai,yane ngambung byanyu teko kali
saya menyimpan anak di sungai,isun nyimpen lare nong kali
nenek menyimpan pisang dari dapur,embyah nyimpen gedhang teko pawon
ibu membawa pisau di pasar,mak nggowo lading nong pasar
mereka memukul kunci di dapur,wong-wong nyampat kunci nong pawon
ibu mencium bunga di sungai,mak ngambung kembang nong kali
dia memanggil sayur ke rumah,yane ngundang jangan nyang umah
saya menyapu pisau dari rumah,isun nyapu lading teko umah
saya memanggil bunga di bukit,isun ngundang kembang nong puthuk
aku memukul sayur di dapur,isun nyampat jangan nong pawon
bapak mencium nasi dari dapur,bapak ngambung sego teko pawon
aku memasak air ke sungai,isun ngolah byanyu nyang kali
anak mengambil air dari rumah,lare njuwut byanyu teko umah
saya membawa bunga ke pasar,isun nggowo kembang nyang pasar
saya mencium sayur ke rumah,isun ngambung jangan nyang umah
nenek menyapu sayur ke bukit,embyah nyapu jangan nyang puthuk
bapak menyapu bunga,bapak nyapu kembang
dia menyimpan pisau dari rumah,yane nyimpen lading teko umah
anak menyapu buku di pasar,lare nyapu buku nong pasar
nenek mengambil nasi dari bukit,embyah njuwut sego teko puthuk
ibu mencium bunga,mak ngambung kembang
aku memanggil bunga di dapur,isun ngundang kembang nong pawon
dia menyimpan bunga di rumah,yane nyimpen kembang nong umah
aku mengambil air,isun njuwut byanyu
kamu menyimpan buku ke pasar,riko nyimpen buku nyang pasar
bapak membawa pisau di bukit,bapak nggowo lading nong puthuk
anak menyimpan bunga dari sungai,lare nyimpen kembang teko kali
mereka membawa bunga di rumah,wong-wong nggowo kembang nong umah
nenek menyapu air dari pasar,embyah nyapu byanyu teko pasar
nenek mencium pisau,embyah ngambung lading
mereka mencium sayur di dapur,wong-wong ngambung jangan nong pawon
saya memukul sayur di rumah,isun nyampat jangan nong umah
aku menyimpan pisang ke bukit,isun nyimpen gedhang nyang puthuk
mereka membawa bunga dari sungai,wong-wong nggowo kembang teko kali
aku mencium bunga ke dapur,isun ngambung kembang nyang pawon
bapak membawa air,bapak nggowo byanyu
nenek melihat air ke sungai,embyah ndeleng byanyu nyang kali
ibu menyapu air ke bukit,mak nyapu byanyu nyang puthuk
mereka memasak nasi dari bukit,wong-wong ngolah sego teko puthuk
saya melihat pisang,isun ndeleng gedhang
dia mengambil kunci dari dapur,yane njuwut kunci teko pawon
kamu memasak pisang,riko ngolah gedhang
aku memanggil pisau ke pasar,isun ngundang lading nyang pasar
anak mengambil pisang di pasar,lare njuwut gedhang nong pasar
saya menyapu nasi ke sungai,isun nyapu sego nyang kali
dia memasak pisau,yane ngolah lading
kamu mencium nasi,riko ngambung sego
ibu mencium buku di pasar,mak ngambung buku nong pasar
bapak memasak sayur di dapur,bapak ngolah jangan nong pawon
anak memasak sayur di dapur,lare ngolah jangan nong pawon
bapak melihat anak dari rumah,bapak ndeleng lare teko umah
bapak mengambil bunga dari dapur,bapak njuwut kembang teko pawon
aku memanggil kunci,isun ngundang kunci
dia memasak anak dari pasar,yane ngolah lare teko pasar
nenek mencium kunci dari sungai,embyah ngambung kunci teko kali
dia mencium nasi dari pasar,yane ngambung sego teko pasar
anak mencium air ke dapur,lare ngambung byanyu nyang pawon
bapak mengambil pisau ke pasar,bapak njuwut lading nyang pasar
anak memanggil kunci dari pasar,lare ngundang kunci teko pasar
saya mengambil kunci ke bukit,isun njuwut kunci nyang puthuk
aku memanggil bunga dari dapur,isun ngundang kembang teko pawon
anak mengambil buku di bukit,lare njuwut buku nong puthuk
bapak mengambil sayur dari dapur,bapak njuwut jangan teko pawon
saya memasak buku di sungai,isun ngolah buku nong kali
nenek menyapu buku dari rumah,embyah nyapu buku teko umah
ibu memukul buku di pasar,mak nyampat buku nong pasar
saya menyimpan anak dari dapur,isun nyimpen lare teko pawon
anak menyimpan bunga di rumah,lare nyimpen kembang nong umah
mereka mencium anak,wong-wong ngambung lare
ibu memukul air ke dapur,mak nyampat byanyu nyang pawon
ibu menyapu buku,mak nyapu buku
kamu melihat bunga,riko ndeleng kembang
mereka mengambil air ke dapur,wong-wong njuwut byanyu nyang pawon
saya menyimpan nasi di dapur,isun nyimpen sego nong pawon
bapak melihat kunci dari pasar,bapak ndeleng kunci teko pasar
kamu mengambil kunci dari dapur,riko njuwut kunci teko pawon
nenek melihat pisang di pasar,embyah ndeleng gedhang nong pasar
anak mengambil anak ke pasar,lare njuwut lare nyang pasar
anak menyimpan bunga,lare nyimpen kembang
kamu menyimpan bunga ke sungai,riko nyimpen kembang nyang kali
dia mengambil sayur di pasar,yane njuwut jangan nong pasar
saya mengambil buku ke bukit,isun njuwut buku nyang puthuk
nenek memanggil pisang,embyah ngundang gedhang
mereka membawa nasi,wong-wong nggowo sego
aku menyapu nasi ke sungai,isun nyapu sego nyang kali
ibu melihat buku ke bukit,mak ndeleng buku nyang puthuk
kamu membawa nasi ke rumah,riko nggowo sego nyang umah
dia menyimpan buku dari pasar,yane nyimpen buku teko pasar
dia mencium kunci,yane ngambung kunci
kamu mengambil air ke bukit,riko njuwut byanyu nyang puthuk
aku memanggil pisang di pasar,isun ngundang gedhang nong pasar
aku memasak nasi,isun ngolah sego
aku memanggil pisau,isun ngundang lading
saya menyimpan bunga di pasar,isun nyimpen kembang nong pasar
aku membawa kunci,isun nggowo kunci
nenek memasak kunci dari pasar,embyah ngolah kunci teko pasar
ibu memasak anak ke rumah,mak ngolah lare nyang umah
saya memukul sayur di rumah,isun nyampat jangan nong umah
ibu menyapu anak di rumah,mak nyapu lare nong umah
bapak menyapu nasi di sungai,bapak nyapu sego nong kali
mereka menyapu pisang ke sungai,wong-wong nyapu gedhang nyang kali
saya menyimpan nasi di pasar,isun nyimpen sego nong pasar
ibu menyimpan bunga,mak nyimpen kembang
bapak memanggil buku dari rumah,bapak ngundang buku teko umah
ibu menyapu nasi dari dapur,mak nyapu sego teko pawon
mereka memanggil kunci,wong-wong ngundang kunci
dia memasak kunci,yane ngolah kunci
saya memukul bunga,isun nyampat kembang
anak memukul air dari bukit,lare nyampat byanyu teko puthuk
saya membawa nasi dari rumah,isun nggowo sego teko umah
bapak memukul pisau ke bukit,bapak nyampat lading nyang puthuk
mereka memasak kunci dari sungai,wong-wong ngolah kunci teko kali
kamu memanggil pisau dari sungai,riko ngundang lading teko kali
anak mencium sayur ke pasar,lare ngambung jangan nyang pasar
bapak melihat bunga di sungai,bapak ndeleng kembang nong kali
anak memanggil pisang dari sungai,lare ngundang gedhang teko kali
dia menyimpan anak,yane nyimpen lare
dia melihat bunga,yane ndeleng kembang
dia memasak anak,yane ngolah lare
aku menyapu kunci dari bukit,isun nyapu kunci teko puthuk
nenek menyimpan bunga,embyah nyimpen kembang
saya memanggil pisau di dapur,isun ngundang lading nong pawon
bapak memukul kunci ke pasar,bapak nyampat kunci nyang pasar
kamu membawa kunci dari pasar,riko nggowo kunci teko pasar
saya memukul pisang di bukit,isun nyampat gedhang nong puthuk
ibu memanggil kunci di bukit,mak ngundang kunci nong puthuk
anak menyimpan pisang dari rumah,lare nyimpen gedhang teko umah
anak membawa pisang,lare nggowo gedhang
bapak menyimpan kunci di pasar,bapak nyimpen kunci nong pasar
aku memanggil bunga di bukit,isun ngundang kembang nong puthuk
aku melihat pisau,isun ndeleng lading
bapak mengambil anak di rumah,bapak njuwut lare nong umah
kamu memanggil nasi ke dapur,riko ngundang sego nyang pawon
aku memanggil sayur ke rumah,isun ngundang jangan nyang umah
nenek memasak buku di dapur,embyah ngolah buku nong pawon
dia memukul air di rumah,yane nyampat byanyu nong umah
nenek membawa pisau di pasar,embyah nggowo lading nong pasar
saya menyapu air,isun nyapu byanyu
anak membawa sayur dari bukit,lare nggowo jangan teko puthuk
aku melihat buku ke dapur,isun ndeleng buku nyang pawon
dia memukul buku dari pasar,yane nyampat buku teko pasar
saya membawa pisang dari pasar,isun nggowo gedhang teko pasar
anak memasak pisau di dapur,lare ngolah lading nong pawon
nenek mencium bunga di rumah,embyah ngambung kembang nong umah
dia memukul anak,yane nyampat lare
nenek memasak buku dari pasar,embyah ngolah buku teko pasar
kamu menyapu anak ke bukit,riko nyapu lare nyang puthuk
nenek memasak anak,embyah ngolah lare
mereka memukul pisau di sungai,wong-wong nyampat lading nong kali
